idx,delta,thinkingTime,rot
638,0.03728348,2.73999,11.07489
639,0.1929617,1.319946,8.662928
640,0.7929462,0.03991699,11.06131
641,0.3485916,2.319946,7.435372
642,0.05803591,0.6799316,7.6375
643,0.04564631,0.7600098,10.88317
644,0.2163227,2.840088,6.688639
645,0.3016024,1.619995,11.04214
646,0.3849164,2.97998,11.13697
647,0.1778443,0.3999023,9.84048
648,0.05769849,0.8599854,10.03699
649,0.1125727,3.179932,10.64222
650,0.1182528,1.539917,6.931199
651,0.08336556,0.6600342,6.308064
652,0.2774873,0.8399658,12.98987
653,0.1051434,2.899902,11.48677
654,0.444815,1.159912,12.16891
655,0.1107115,0.8800049,8.125919
656,0.1431324,1.160034,9.566511
657,0.1768996,1.23999,8.314412
658,0.4195159,0.9000244,9.458387
659,0.1524869,2.680054,12.74255
660,0.4053131,2.459961,8.586486
661,0.009786904,1.180054,5.817355
662,0.01394159,1.23999,6.569016
663,0.2341791,0.7999268,14.94699
664,0.03471112,3.040039,12.32419
665,0.133533,4.939941,9.723023
666,0.4265057,2.719971,13.21814
667,0.1388826,0.9599609,11.10578
668,0.0558033,0.7399902,7.921287
669,0.1584335,2.919922,10.23964
670,0.2696173,1.199951,10.21134
671,0.3237567,10.5,8.910702
672,0.2305298,0.6199951,10.45069
673,0.4103084,2.959961,14.1308
674,0.1947011,1,6.902844
675,0.02397037,1.080078,9.630626
676,0.3198834,0.9799805,12.64077
677,0.283082,0.7000732,10.90955
678,0.2957222,1.339966,11.9833
679,0.4387245,2.960083,8.233039
680,0.142974,0.9000244,5.009189
681,0.01745707,0.6999512,10.30422
682,0.140721,4.859985,7.738972
683,0.1049699,1.040039,7.399116
684,0.2503781,0.960083,7.297237
685,0.06960797,1.420044,9.564396
686,0.1301734,0.9000244,14.92839
687,2.04459,0.03991699,9.300144
688,2.087937,0.04003906,5.089361
689,0.2757418,0.5600586,12.71299
690,0.05670476,1.540039,9.984773
691,0.1500439,2.459961,8.209961
692,0.08569676,2.580078,14.78224
693,0.3776284,1.619995,14.47736
694,0.3699412,2.540039,12.9568
695,0.1981401,2.700073,13.7086
696,0.1480923,3.23999,5.606219
697,0.09656397,4.380005,7.409432
698,0.1137542,2.700073,14.16483
699,0.09156251,3.219971,5.089462
700,0.3497921,0.9000244,14.05593
701,0.05855656,2.639893,6.527015
702,0.2286699,2.780029,14.38343
703,0.07347792,2.400024,13.92487
704,0.1577764,3.059937,6.656257
705,0.3815818,1.02002,12.48022
706,0.2565989,3.060059,13.4967
707,0.1922863,0.9400635,6.095597
708,0.1785605,1.060059,6.815226
709,0.4458836,1.02002,13.94644
710,0.06274235,0.9599609,9.414772
711,0.1757487,1,11.06537
712,0.0197432,1.640015,6.331723
713,0.1227552,4.600098,5.054075
714,0.4080411,0.6600342,12.739
715,0.05738378,2.660034,5.691204
716,0.109764,2.380005,13.46435
717,2.57767,0.02001953,10.42255
718,0.2840242,0.8800049,13.378
719,1.001217,0.02001953,13.56671
720,0.3621602,0.09997559,7.881675
721,0.4224418,1,12.08281
722,0.148392,2.839966,5.507052
723,0.0008742809,2.220093,14.755
724,0.04551196,1.219971,5.146859
725,0.1217384,0.04003906,13.83102
726,0.3524084,2.420044,10.44937
727,0.1690509,2.52002,11.77194
728,0.04553348,2.820068,5.889425
729,0.2103535,3.079956,5.640882
730,0.3170241,0.9000244,8.338107
731,0.04225922,3.26001,7.507376
732,0.008064628,2.52002,14.86881
733,0.4202204,0.960083,13.11763
734,0.3960792,2.97998,11.57153
735,0.226454,2.659912,13.77858
736,0.03980482,3.02002,11.99774
737,0.04840177,0.8599854,5.664629
738,2.388734,0.04003906,11.05906
739,0.426704,1.939941,14.39709
740,0.118274,2.780029,11.74162
741,0.4086008,1.26001,13.94322
742,0.006415606,0.3800049,10.03411
743,0.4867786,0.1400146,6.391506
744,0.1120911,1,7.177965
745,0.9015826,0.03991699,14.44898
746,0.6350373,0.03991699,6.913023
747,0.3945644,0.9799805,5.671662
748,0.04966331,2.840088,14.1655
749,0.02983081,2.400024,13.59119
750,0.3243297,1.280029,9.942052
751,0.07308316,1.079956,11.09671
752,0.4345814,1.079956,14.51308
753,0.06268781,2.640015,10.91855
754,0.07377726,5.099976,6.433594
755,0.4053302,2.959961,12.34753
756,0.05188349,2.200073,9.062822
757,0.02866185,3.099976,8.630567
758,0.2064106,0.9599609,9.235297
759,1.033391,0.04003906,13.24702
760,0.4291025,2.23999,12.72501
761,0.1060455,2.920044,14.20913
762,0.1511048,2.620117,14.07245
763,0.3288081,1.360107,11.74079
764,0.3446272,2.680176,11.15758
765,0.1021597,0.8000488,7.63004
766,0.8111159,0.04003906,14.5826
767,1.216784,0.05981445,11.36434
768,0.06299233,7.379883,6.48013
769,0.4237869,0.4799805,13.43249
770,0.06680393,2.700195,7.667461
