idx,delta,thinkingTime,rot
706,1.537526,1.380127,11.67394
707,0.09321642,11.69995,6.98768
708,0.2790453,7.719971,13.51398
709,0.9800456,0.7600098,10.42002
710,2.145722,1.560059,14.66412
711,0.4758382,9.059814,6.782676
712,0.3757836,1.900146,12.85957
713,0.0188759,8.02002,11.10132
714,0.1454291,0.7600098,12.17127
715,0.4189319,1.26001,5.261914
716,0.9006669,9.380127,5.324585
717,0.9442934,0.02001953,6.302024
718,0.246455,0.7399902,5.076372
719,1.777878,3.860107,10.25299
720,0.1250384,3.240234,10.90805
721,0.5500578,4.780029,12.96206
722,1.12199,0.119873,13.87447
723,0.1555375,1.47998,6.84122
724,0.3447883,4.899902,7.864612
725,0.6341804,3.540039,5.20178
726,0.2626016,1.819824,10.23508
727,1.44485,0.7800293,13.64711
728,0.5492757,6.47998,14.40534
729,0.3016213,0.2600098,10.88983
730,0.5250033,0.02001953,8.691772
731,0.002110422,1.02002,5.698372
732,1.065878,0.7199707,10.64863
733,0.4940336,3.219971,5.672228
734,0.5938736,0.02001953,6.557647
735,1.725278,3.100098,12.60896
736,0.02071834,1.619873,6.141888
737,0.5416857,4.580078,5.838055
738,1.685049,0.02001953,8.253608
739,1.78394,2.859863,7.883561
740,0.723522,0.02001953,5.883808
741,0.2699641,0.5600586,5.281033
742,1.092393,0.7199707,12.601
743,2.15055,8.119873,7.154725
744,0.0003809929,0.02001953,7.470538
745,0.07224542,0.5800781,5.130204
746,0.8202606,0.579834,11.03552
747,0.9416541,3.119873,5.783762
748,1.347705,0.02001953,5.42138
749,2.10837,3.02002,11.80748
750,0.515478,1.339844,11.66644
751,0.5627842,2.97998,10.49594
752,0.6059927,1.600098,13.38938
753,2.292806,3.459961,10.12346
754,0.4146394,1.560059,5.550158
755,1.099568,0.5200195,14.16426
756,0.8499293,1.320068,13.18442
757,1.921235,1.47998,12.38181
758,0.02494931,11.82007,8.35253
759,1.326128,3.340088,6.600725
760,0.9182068,3.200195,14.71241
761,0.1631103,3.619873,14.07697
762,1.543569,3.299805,6.646327
763,1.436308,1.47998,10.94131
764,0.5110321,2.5,6.836289
765,2.014253,1.47998,13.65272
766,0.871706,3.140137,11.90978
767,0.2718105,0.02001953,9.440373
768,0.4469045,0.02001953,12.55178
769,1.497875,0.3999023,10.82816
770,0.163158,2.379883,5.231267
771,1.484474,1.47998,8.628699
772,0.2771646,7.620117,9.578774
773,1.050063,0.9399414,13.43282
774,1.477876,1.47998,8.07937
775,1.526637,3.459961,7.559675
776,0.5614573,4.76001,6.888085
