Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.707,5596.427,11.941,10244,0.973
SaverLearning,0.706,5609.634,11.704,10248,0.973
SaverLearning,0.708,5622.927,11.807,10250,0.973
SaverLearning,0.706,5636.282,11.863,10243,0.973
SaverLearning,0.742,5649.657,11.853,10241,0.973
SaverLearning,0.704,5662.852,11.709,10244,0.973
SaverLearning,0.720,5676.238,11.861,10252,0.973
SaverLearning,0.717,5689.414,11.656,10243,0.973
SaverLearning,0.728,5702.961,11.997,10241,0.973
SaverLearning,0.691,5716.409,11.962,10241,0.973
SaverLearning,0.693,5729.526,11.641,10241,0.973
SaverLearning,0.747,5742.851,11.787,10241,0.973
SaverLearning,0.714,5756.094,11.742,10241,0.973
SaverLearning,0.705,5769.715,12.117,10241,0.973
SaverLearning,0.702,5783.145,11.927,10244,0.973
SaverLearning,0.710,5796.572,11.925,10246,0.973
SaverLearning,0.706,5809.857,11.791,10245,0.974
SaverLearning,0.712,5823.314,11.946,10251,0.974
SaverLearning,0.701,5836.453,11.649,10252,0.974
SaverLearning,0.739,5849.493,11.522,10246,0.974
SaverLearning,0.709,5862.604,11.639,10246,0.974
SaverLearning,0.704,5875.849,11.767,10242,0.974
SaverLearning,0.728,5889.442,12.074,10242,0.974
SaverLearning,0.706,5902.652,11.713,10244,0.974
SaverLearning,0.705,5915.822,11.666,10241,0.974
SaverLearning,0.715,5929.057,11.721,10243,0.974
SaverLearning,0.715,5942.374,11.794,10245,0.974
SaverLearning,0.705,5955.563,11.708,10251,0.974
SaverLearning,0.706,5968.630,11.577,10243,0.974
SaverLearning,0.716,5981.829,11.693,10254,0.974
SaverLearning,0.728,5995.406,11.921,10258,0.974
SaverLearning,0.699,6008.647,11.759,10241,0.974
SaverLearning,0.717,6021.698,11.544,10246,0.974
SaverLearning,0.700,6034.870,11.664,10249,0.974
SaverLearning,0.723,6048.171,11.785,10246,0.975
SaverLearning,0.712,6061.560,11.889,10243,0.975
SaverLearning,0.698,6074.662,11.626,10245,0.975
SaverLearning,0.710,6087.885,11.721,10244,0.975
SaverLearning,0.702,6100.887,11.527,10244,0.975
SaverLearning,0.708,6114.092,11.714,10255,0.975
SaverLearning,0.753,6127.411,11.776,10243,0.975
SaverLearning,0.698,6140.501,11.605,10242,0.975
SaverLearning,0.700,6153.964,11.956,10247,0.975
SaverLearning,0.699,6167.123,11.666,10255,0.975
SaverLearning,0.724,6180.456,11.809,10251,0.975
SaverLearning,0.728,6193.731,11.743,10249,0.975
SaverLearning,0.704,6206.985,11.749,10247,0.975
SaverLearning,0.697,6220.369,11.888,10249,0.975
SaverLearning,0.717,6233.561,11.676,10249,0.975
SaverLearning,0.705,6246.726,11.659,10248,0.975
SaverLearning,0.697,6259.903,11.679,10245,0.975
SaverLearning,0.699,6273.081,11.680,10246,0.975
SaverLearning,0.769,6286.155,11.519,10241,0.975
SaverLearning,0.724,6299.316,11.644,10243,0.976
SaverLearning,0.744,6312.384,11.528,10248,0.976
SaverLearning,0.698,6325.691,11.801,10247,0.976
SaverLearning,0.712,6338.903,11.691,10256,0.976
SaverLearning,0.691,6352.358,11.966,10254,0.976
SaverLearning,0.742,6365.709,11.812,10252,0.976
SaverLearning,0.710,6378.945,11.707,10243,0.976
SaverLearning,0.690,6392.178,11.743,10245,0.976
SaverLearning,0.697,6405.519,11.862,10255,0.976
SaverLearning,0.719,6418.601,11.590,10243,0.976
SaverLearning,0.697,6431.915,11.811,10242,0.976
SaverLearning,0.710,6445.464,12.029,10248,0.976
SaverLearning,0.731,6458.607,11.609,10244,0.976
SaverLearning,0.717,6471.899,11.775,10243,0.976
SaverLearning,0.701,6485.312,11.892,10245,0.976
SaverLearning,0.754,6498.731,11.838,10245,0.976
SaverLearning,0.698,6512.152,11.924,10242,0.976
SaverLearning,0.711,6525.580,11.909,10241,0.976
SaverLearning,0.760,6538.888,11.751,10254,0.976
SaverLearning,0.745,6552.173,11.753,10254,0.976
SaverLearning,0.710,6565.453,11.744,10243,0.976
SaverLearning,0.702,6578.953,11.981,10243,0.977
SaverLearning,0.716,6592.496,11.997,10245,0.977
SaverLearning,0.706,6605.960,11.938,10246,0.977
SaverLearning,0.708,6619.283,11.806,10247,0.977
SaverLearning,0.702,6632.952,12.156,10245,0.977
SaverLearning,0.710,6646.657,12.188,10243,0.977
SaverLearning,0.693,6660.121,11.966,10251,0.977
SaverLearning,0.690,6673.561,11.946,10247,0.977
SaverLearning,0.712,6687.159,12.084,10243,0.977
SaverLearning,0.691,6700.569,11.920,10244,0.977
SaverLearning,0.694,6714.050,11.993,10244,0.977
SaverLearning,0.721,6727.442,11.876,10243,0.977
SaverLearning,0.735,6740.932,11.951,10245,0.977
SaverLearning,0.701,6754.610,11.937,10245,0.977
SaverLearning,0.702,6768.113,12.014,10254,0.977
SaverLearning,0.706,6781.668,12.048,10247,0.977
SaverLearning,0.718,6795.158,11.964,10250,0.977
SaverLearning,0.703,6808.387,11.722,10251,0.977
SaverLearning,0.715,6821.698,11.796,10254,0.977
SaverLearning,0.708,6834.998,11.786,10255,0.977
SaverLearning,0.702,6848.594,12.070,10241,0.977
SaverLearning,0.706,6862.035,11.911,10247,0.977
SaverLearning,0.748,6875.635,12.038,10253,0.978
SaverLearning,0.694,6889.000,11.871,10248,0.978
SaverLearning,0.705,6902.254,11.750,10247,0.978
SaverLearning,0.698,6915.629,11.882,10251,0.978
SaverLearning,0.704,6929.121,11.975,10243,0.978
SaverLearning,0.756,6942.558,11.874,10244,0.978
SaverLearning,0.711,6955.939,11.840,10259,0.978
SaverLearning,0.702,6969.267,11.798,10245,0.978
